Rank Number,Protein Name,C1,C2,C3,c,MAX,SUM
61,>sp|P53252|PIL1_YEAST Sphingolipid long chain base-responsive protein PIL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PIL1 PE=1 SV=1,33,25,26,0,33,84
62,>sp|Q08641|AB140_YEAST tRNA(Thr) (cytosine(32)-N(3))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ABP140 PE=1 SV=3,30,33,17,0,33,80
63,>sp|P00360|G3P1_YEAST Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH1 PE=1 SV=3,23,33,19,0,33,75
64,>sp|Q03558|OYE2_YEAST NADPH dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OYE2 PE=1 SV=3,31,29,11,0,31,71
65,>sp|P02829|HSP82_YEAST ATP-dependent molecular chaperone HSP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP82 PE=1 SV=1,30,25,23,0,30,78
66,>sp|P22515|UBA1_YEAST Ubiquitin-activating enzyme E1 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBA1 PE=1 SV=2,30,28,20,0,30,78
67,>sp|P53090|ARO8_YEAST Aromatic/aminoadipate aminotransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO8 PE=1 SV=1,29,30,16,0,30,75
68,>tr|G2WEP6|G2WEP6_YEASK Clathrin light chain OS=Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557) GN=K7_CLC1 PE=3 SV=1,30,25,19,0,30,74
69,>tr|B5VRG9|B5VRG9_YEAS6 YOL086Cp-like protein OS=Saccharomyces cerevisiae (strain AWRI1631) GN=AWRI1631_150730 PE=3 SV=1,30,25,NaN,0,30,55
70,>sp|P02994|EF1A_YEAST Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF1 PE=1 SV=1,NaN,30,14,0,30,44
71,>sp|A6ZKU1|SLA1_YEAS7 Actin cytoskeleton-regulatory complex protein SLA1 OS=Saccharomyces cerevisiae (strain YJM789) GN=SLA1 PE=3 SV=1,30,NaN,NaN,0,30,30
72,>tr|C8ZIS4|C8ZIS4_YEAS8 Sse1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1P2_1926g PE=3 SV=1,30,NaN,NaN,0,30,30
73,>sp|Q08412|CUE5_YEAST Ubiquitin-binding protein CUE5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUE5 PE=1 SV=1,25,29,27,0,29,81
74,>sp|P25694|CDC48_YEAST Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC48 PE=1 SV=3,29,29,18,0,29,76
75,>sp|Q03048|COFI_YEAST Cofilin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COF1 PE=1 SV=1,29,29,13,0,29,71
76,>sp|P05694|METE_YEAST 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET6 PE=1 SV=4,27,29,11,0,29,67
77,>sp|P10622|RLA3_YEAST 60S acidic ribosomal protein P1-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP1B PE=1 SV=3,29,21,11,0,29,61
78,>sp|A6ZT99|NACA_YEAS7 Nascent polypeptide-associated complex subunit alpha OS=Saccharomyces cerevisiae (strain YJM789) GN=EGD2 PE=3 SV=1,27,28,25,0,28,80
79,>sp|Q08245|ZEO1_YEAST Protein ZEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZEO1 PE=1 SV=3,16,28,24,0,28,68
80,>sp|P19097|FAS2_YEAST Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS2 PE=1 SV=2,25,28,13,0,28,66
81,>sp|P06787|CALM_YEAST Calmodulin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CMD1 PE=1 SV=1,28,26,11,0,28,65
82,>sp|P40019|CHZ1_YEAST Histone H2A.Z-specific chaperone CHZ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHZ1 PE=1 SV=2,23,27,25,0,27,75
83,>sp|Q12114|CHS5_YEAST Chitin biosynthesis protein CHS5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHS5 PE=1 SV=1,27,23,24,0,27,74
84,>sp|Q08969|GRE1_YEAST Protein GRE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRE1 PE=1 SV=1,27,24,22,0,27,73
85,>sp|P16862|PFKA2_YEAST ATP-dependent 6-phosphofructokinase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK2 PE=1 SV=4,15,20,27,0,27,62
86,>sp|P32316|ACH1_YEAST Acetyl-CoA hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACH1 PE=1 SV=2,27,NaN,25,0,27,52
87,>sp|Q07653|HBT1_YEAST Protein HBT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HBT1 PE=1 SV=1,NaN,27,23,0,27,50
88,>sp|P05030|PMA1_YEAST Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA1 PE=1 SV=2,27,21,NaN,0,27,48
89,>tr|E7NI03|E7NI03_YEASO YGR130C-like protein OS=Saccharomyces cerevisiae (strain FostersO) GN=FOSTERSO_1844 PE=4 SV=1,27,NaN,14,0,27,41
90,>tr|C8Z6P6|C8Z6P6_YEAS8 Hbt1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1D22_0309g PE=4 SV=1,27,NaN,NaN,0,27,27
91,>sp|P53912|YNN4_YEAST Uncharacterized protein YNL134C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL134C PE=1 SV=1,24,26,14,0,26,64
92,>sp|P10080|SSBP1_YEAST Single-stranded nucleic acid-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SBP1 PE=1 SV=2,18,26,18,0,26,62
93,>sp|P39926|SSO2_YEAST Protein SSO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSO2 PE=1 SV=2,26,24,10,0,26,60
94,>sp|P32324|EF2_YEAST Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFT1 PE=1 SV=1,17,26,10,0,26,53
95,>sp|P00942|TPIS_YEAST Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPI1 PE=1 SV=2,9,12,26,0,26,47
96,>sp|Q07163|TY1AB_YEASX Transposon TyH3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae GN=TY1B PE=1 SV=2,3,26,NaN,0,26,29
97,>sp|P32589|HSP7F_YEAST Heat shock protein homolog SSE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSE1 PE=1 SV=4,NaN,26,NaN,0,26,26
98,>sp|P32790|SLA1_YEAST Actin cytoskeleton-regulatory complex protein SLA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SLA1 PE=1 SV=1,NaN,26,NaN,0,26,26
99,>tr|C8Z3Y1|C8Z3Y1_YEAS8 Ach1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=EC1118_1B15_1112g PE=4 SV=1,NaN,26,NaN,0,26,26
100,>sp|C8ZAQ2|AIM21_YEAS8 Altered inheritance of mitochondria protein 21 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) GN=AIM21 PE=3 SV=2,25,25,16,0,25,66
101,>sp|P31539|HS104_YEAST Heat shock protein 104 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP104 PE=1 SV=2,14,23,25,0,25,62
102,>sp|P23301|IF5A1_YEAST Eukaryotic translation initiation factor 5A-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HYP2 PE=1 SV=3,19,25,17,0,25,61
103,>sp|P23615|SPT6_YEAST Transcription elongation factor SPT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT6 PE=1 SV=1,NaN,18,25,0,25,43
104,>sp|P10591|HSP71_YEAST Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA1 PE=1 SV=4,3,1,25,0,25,29
105,>sp|C7GJZ2|CRP1_YEAS2 Cruciform DNA-recognizing protein 1 OS=Saccharomyces cerevisiae (strain JAY291) GN=CRP1 PE=3 SV=1,NaN,NaN,25,0,25,25
106,>sp|P00890|CISY1_YEAST Citrate synthase- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CIT1 PE=1 SV=2,24,24,22,0,24,70
107,>sp|A6ZRW6|MASY_YEAS7 Malate synthase 1- glyoxysomal OS=Saccharomyces cerevisiae (strain YJM789) GN=MLS1 PE=3 SV=1,24,23,21,0,24,68
108,>sp|P41277|GPP1_YEAST Glycerol-1-phosphate phosphohydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPP1 PE=1 SV=3,21,24,19,0,24,64
109,>sp|P26637|SYLC_YEAST Leucine--tRNA ligase- cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC60 PE=1 SV=1,24,NaN,11,0,24,35
110,>sp|P33331|NTF2_YEAST Nuclear transport factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NTF2 PE=1 SV=2,22,23,17,0,23,62
111,>sp|P53066|YGZ2_YEAST Ankyrin repeat-containing protein YGL242C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGL242C PE=1 SV=1,23,22,12,0,23,57
112,>sp|Q04178|HPRT_YEAST Hypoxanthine-guanine phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPT1 PE=1 SV=1,19,23,10,0,23,52
113,>sp|P10963|PCKA_YEAST Phosphoenolpyruvate carboxykinase (ATP) OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCK1 PE=1 SV=2,23,21,7,0,23,51
114,>tr|E7KP12|E7KP12_YEASL Tif4631p OS=Saccharomyces cerevisiae (strain Lalvin QA23) GN=QA23_1911 PE=4 SV=1,NaN,23,NaN,0,23,23
115,>tr|E7Q3Y4|E7Q3Y4_YEASB Plasma membrane ATPase OS=Saccharomyces cerevisiae (strain FostersB) GN=FOSTERSB_1747 PE=3 SV=1,NaN,NaN,23,0,23,23
116,>sp|Q12363|WTM1_YEAST Transcriptional modulator WTM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WTM1 PE=1 SV=1,21,22,17,0,22,60
117,>sp|P16120|THRC_YEAST Threonine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THR4 PE=1 SV=1,21,22,13,0,22,56
118,>sp|Q12074|SPEE_YEAST Spermidine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPE3 PE=1 SV=1,21,22,10,0,22,53
119,>sp|P17695|GLRX2_YEAST Glutaredoxin-2- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX2 PE=1 SV=3,21,22,9,0,22,52
120,>tr|B3LIB3|B3LIB3_YEAS1 Transcription initiation protein SPT6 OS=Saccharomyces cerevisiae (strain RM11-1a) GN=SCRG_00903 PE=4 SV=1,22,NaN,NaN,0,22,22
121,>sp|P41920|YRB1_YEAST Ran-specific GTPase-activating protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRB1 PE=1 SV=1,17,19,21,0,21,57
122,>sp|P04801|SYTC_YEAST Threonine--tRNA ligase- cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THS1 PE=1 SV=2,21,17,14,0,21,52
123,>sp|P38996|NAB3_YEAST Nuclear polyadenylated RNA-binding protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAB3 PE=1 SV=1,13,17,21,0,21,51
124,>sp|P17967|PDI_YEAST Protein disulfide-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDI1 PE=1 SV=2,9,21,18,0,21,48
125,>sp|P00950|PMG1_YEAST Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPM1 PE=1 SV=3,20,21,6,0,21,47
126,>sp|P34730|BMH2_YEAST Protein BMH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BMH2 PE=1 SV=3,21,13,8,0,21,42
127,>sp|A6ZZY2|YKR18_YEAS7 Mitochondrial outer membrane protein SCY_3392 OS=Saccharomyces cerevisiae (strain YJM789) GN=SCY_3392 PE=3 SV=1,21,NaN,14,0,21,35
128,>sp|P39935|IF4F1_YEAST Eukaryotic initiation factor 4F subunit p150 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF4631 PE=1 SV=2,21,NaN,11,0,21,32
129,>sp|P53278|YG3A_YEAST Uncharacterized protein YGR130C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR130C PE=1 SV=1,NaN,21,NaN,0,21,21
130,>sp|P46654|RSSA2_YEAST 40S ribosomal protein S0-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS0B PE=1 SV=2,20,20,15,0,20,55
131,>sp|P15496|IDI1_YEAST Isopentenyl-diphosphate Delta-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDI1 PE=1 SV=2,20,20,14,0,20,54
132,>sp|P52286|SKP1_YEAST Suppressor of kinetochore protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SKP1 PE=1 SV=2,16,16,20,0,20,52
133,>sp|P11938|RAP1_YEAST DNA-binding protein RAP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAP1 PE=1 SV=2,14,20,16,0,20,50
134,>sp|P40477|NU159_YEAST Nucleoporin NUP159 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP159 PE=1 SV=1,15,20,13,0,20,48
135,>sp|P08524|FPPS_YEAST Farnesyl pyrophosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG20 PE=1 SV=2,20,19,8,0,20,47
136,>sp|P26321|RL5_YEAST 60S ribosomal protein L5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL5 PE=1 SV=4,20,17,10,0,20,47
137,>sp|P46655|SYEC_YEAST Glutamate--tRNA ligase- cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUS1 PE=1 SV=3,20,15,12,0,20,47
138,>sp|P35176|CYPD_YEAST Peptidyl-prolyl cis-trans isomerase D OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPR5 PE=2 SV=1,10,20,16,0,20,46
139,>sp|P19882|HSP60_YEAST Heat shock protein 60- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP60 PE=1 SV=1,17,20,NaN,0,20,37
140,>sp|P32628|RAD23_YEAST UV excision repair protein RAD23 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD23 PE=1 SV=1,20,10,3,0,20,33
141,>sp|P38235|YBQ3_YEAST Uncharacterized protein YBR053C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR053C PE=1 SV=1,20,13,NaN,0,20,33
142,>sp|P17505|MDHM_YEAST Malate dehydrogenase- mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDH1 PE=1 SV=2,19,18,17,0,19,54
143,>sp|P39954|SAHH_YEAST Adenosylhomocysteinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAH1 PE=1 SV=1,16,19,16,0,19,51
