Accession Number,DF1,EF1,DF2,EF2,DF3,EF3,DF4,EF4,DF5,EF5,DF6,EF6
P33892,---,---,7.14E-05,6.70E+00,1.66E-04,9.07E+00,0.00E+00,---,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P15180,2.20E-04,7.29E+00,8.40E-04,9.47E-01,6.72E-04,7.87E-01,1.51E-04,---,1.03E-04,6.87E+00,1.23E-04,---
Q03690,4.14E-05,1.00E+00,1.39E-04,4.71E+00,1.22E-04,1.54E+00,3.01E-05,4.28E+00,1.03E-04,---,9.46E-05,---
P07170,2.22E-03,5.17E-01,4.81E-03,2.17E+00,2.33E-03,5.97E-01,5.12E-03,2.69E+00,5.12E-03,2.38E+00,5.39E-03,2.61E+00
P39954,2.88E-03,1.51E+02,1.84E-03,1.26E+00,1.51E-03,7.91E-01,3.45E-03,8.01E+00,2.93E-03,1.58E+01,2.67E-03,9.85E+00
P38249,2.68E-05,---,3.56E-04,3.29E+00,6.11E-04,6.33E+00,2.15E-04,2.31E+01,2.37E-04,---,1.78E-04,---
Q12690,2.74E-03,1.74E+00,3.96E-03,1.51E+00,4.01E-03,1.34E+00,5.18E-03,3.21E+00,4.15E-03,2.13E+00,4.43E-03,2.36E+00
P10080,1.07E-03,6.63E-01,1.08E-03,3.68E-01,1.40E-03,5.40E-01,2.11E-03,1.91E+00,2.48E-03,1.73E+00,1.83E-03,1.86E+00
P00817,4.18E-03,6.18E+00,3.10E-03,1.19E+00,2.60E-03,8.67E-01,3.04E-03,6.77E+00,2.41E-03,5.83E+00,2.25E-03,5.76E+00
P07284,8.01E-04,6.86E+00,8.25E-04,8.19E-01,1.39E-03,1.53E+00,2.03E-04,3.32E+00,2.57E-04,1.34E+01,1.61E-04,1.98E+00
P0CX51,6.26E-04,---,6.57E-03,1.28E+00,7.67E-03,2.17E+00,1.01E-03,---,3.35E-04,2.68E+00,3.53E-04,5.29E+00
P25294,9.39E-04,1.48E+00,2.35E-03,3.33E+00,2.74E-03,2.58E+00,1.46E-03,9.11E-01,1.33E-03,9.25E-01,1.28E-03,1.21E+00
P02407,4.05E-03,1.73E+00,6.83E-03,1.55E+00,7.33E-03,1.56E+00,4.79E-03,2.83E+00,3.34E-03,2.06E+00,3.44E-03,2.00E+00
P05317,2.14E-03,2.47E+01,1.67E-03,8.46E-01,2.39E-03,9.63E-01,1.72E-03,8.34E-01,1.42E-03,9.80E-01,1.53E-03,8.82E-01
P04802,1.53E-03,1.56E+01,1.51E-03,1.50E+00,1.15E-03,1.29E+00,6.66E-04,1.35E+01,2.16E-04,---,5.85E-04,1.74E+01
P0CX23,4.58E-04,---,3.69E-03,1.56E+00,5.68E-03,2.43E+00,---,---,---,---,---,---
P38707,3.84E-04,6.22E+00,5.74E-04,5.39E-01,5.62E-04,4.43E-01,5.00E-04,1.00E+01,2.35E-04,1.58E+00,3.14E-04,9.36E+00
P0CX53,2.94E-03,2.61E+00,5.63E-03,1.69E+00,4.09E-03,1.21E+00,4.22E-03,2.70E+00,4.48E-03,2.90E+00,4.15E-03,4.06E+00
P32454,8.40E-04,---,2.01E-04,5.63E-01,1.60E-04,4.02E-01,1.95E-04,2.05E+01,5.12E-05,2.69E+00,1.56E-04,5.30E+00
P53622,---,---,2.11E-05,2.72E+00,1.62E-04,1.72E+00,---,---,---,---,---,---
P31116,2.05E-03,---,1.20E-03,5.07E-01,9.90E-04,4.24E-01,9.05E-04,3.58E+01,2.66E-04,1.05E+01,3.15E-04,---
P36008,6.69E-04,---,1.73E-03,9.25E-01,2.04E-03,1.11E+00,6.20E-04,7.07E+00,2.62E-04,---,2.43E-04,---
P16140,1.21E-03,3.67E+01,1.67E-03,1.38E+00,1.64E-03,2.10E+00,2.02E-03,1.41E+01,1.62E-03,1.31E+01,1.63E-03,7.51E+00
P00924,2.59E-02,5.27E+00,1.61E-02,1.43E+00,1.01E-02,7.24E-01,1.21E-02,1.77E+00,9.97E-03,2.28E+00,1.23E-02,2.85E+00
Q05506,1.09E-04,---,6.27E-04,1.61E+00,7.26E-04,2.67E+00,6.54E-05,---,0.00E+00,---,3.97E-05,---
P15019,2.91E-03,5.69E+01,1.90E-03,1.06E+00,2.22E-03,1.31E+00,1.28E-03,1.14E+01,5.70E-04,5.38E+00,1.00E-03,5.11E+00
P07245,1.23E-04,---,2.68E-04,1.57E+00,2.61E-04,1.85E+00,---,---,---,---,---,---
P43616,2.25E-03,1.34E+01,6.87E-04,4.36E-01,1.10E-03,8.79E-01,2.41E-03,4.23E+00,2.01E-03,3.32E+00,1.91E-03,4.66E+00
P36421,9.66E-04,---,1.13E-03,1.39E+00,1.04E-03,1.93E+00,9.75E-05,---,6.04E-05,---,2.87E-04,---
P35691,3.62E-03,1.15E+00,3.27E-03,6.83E-01,3.18E-03,6.49E-01,1.84E-03,9.85E-01,2.37E-03,1.97E+00,2.13E-03,1.89E+00
Q01855,7.28E-04,1.11E+01,4.47E-03,1.15E+00,5.72E-03,1.36E+00,3.24E-03,---,2.61E-03,---,2.07E-03,---
P38013,1.26E-02,2.26E+01,2.68E-03,2.90E-01,1.74E-03,3.38E-01,2.91E-03,1.13E+01,1.55E-03,3.33E+00,1.92E-03,6.01E+00
P49089,9.00E-05,---,7.78E-04,7.32E-01,8.24E-04,9.08E-01,2.56E-04,---,1.26E-04,---,1.30E-04,---
P0C0W9,4.47E-04,---,1.75E-03,8.04E-01,2.74E-03,1.01E+00,3.02E-04,---,1.40E-04,---,1.37E-04,---
P29952,5.76E-04,7.07E+00,1.04E-03,1.23E+00,4.77E-04,4.80E-01,8.31E-04,1.31E+01,4.74E-04,1.14E+01,3.41E-04,---
P48589,1.84E-03,2.70E+00,4.09E-03,6.71E-01,3.44E-03,7.70E-01,2.22E-03,3.48E+00,2.18E-03,3.38E+00,2.33E-03,4.43E+00
P13188,1.32E-04,---,2.20E-04,7.19E-01,3.14E-04,1.23E+00,1.58E-05,1.33E+00,4.42E-05,1.94E+00,0.00E+00,0.00E+00
Q05050,1.63E-05,2.87E-02,9.11E-05,---,7.88E-05,4.30E-01,1.38E-04,3.09E-01,4.81E-04,8.72E-01,6.08E-04,1.27E+00
P38972,1.08E-04,---,2.16E-04,6.15E-01,1.04E-04,2.83E-01,5.01E-05,---,2.67E-05,---,2.72E-05,---
P31373,2.83E-03,1.04E+01,1.77E-03,1.08E+00,1.55E-03,1.04E+00,2.29E-03,3.78E+00,1.06E-03,1.27E+00,1.55E-03,1.97E+00
P05319,3.08E-03,8.57E-02,1.20E-03,1.13E-01,1.36E-03,1.31E-01,4.20E-03,9.12E-02,7.22E-03,1.61E-01,5.08E-03,1.06E-01
P41940,1.06E-03,---,1.55E-03,1.64E+00,1.93E-03,2.12E+00,3.66E-04,3.58E+00,3.63E-04,---,3.80E-04,4.88E+00
P53852,6.77E-05,6.08E+00,1.16E-04,4.95E-01,1.49E-04,6.19E-01,9.06E-05,6.93E-01,7.91E-05,8.31E-01,1.67E-05,1.70E-01
P39526,---,---,2.51E-05,5.84E-01,1.13E-05,3.67E-01,---,---,---,---,---,---
Q05911,5.13E-04,---,4.22E-04,7.22E+00,9.92E-04,5.22E+00,---,---,---,---,---,---
P04456,1.82E-03,---,2.86E-03,1.33E+00,4.46E-03,2.40E+00,2.98E-03,---,2.45E-03,---,2.32E-03,---
P05756,---,---,4.63E-03,1.36E+00,4.85E-03,2.73E+00,4.60E-04,---,0.00E+00,---,1.65E-04,---
P0C0W1,4.16E-04,---,4.69E-03,1.07E+00,6.30E-03,2.14E+00,9.28E-04,---,9.29E-05,---,2.90E-04,---
P15625,3.40E-04,1.00E+01,1.01E-03,1.69E+00,5.44E-04,5.37E-01,8.17E-05,4.52E+00,0.00E+00,0.00E+00,1.53E-04,1.03E+00
P47143,1.17E-03,7.74E+00,1.27E-03,7.21E-01,7.06E-04,2.52E-01,6.13E-04,---,7.14E-05,2.68E+00,1.11E-04,3.95E+00
P00890,3.06E-04,---,5.84E-04,7.02E-01,1.22E-03,2.70E+00,7.50E-04,4.30E+00,6.24E-04,2.19E+00,8.17E-04,8.41E+00
P40825,---,---,2.20E-04,2.86E+00,1.44E-04,1.97E+00,2.76E-04,3.68E+00,2.94E-04,1.59E+01,2.87E-04,1.54E+01
P22146,3.48E-04,2.35E-01,6.60E-04,5.08E-01,7.26E-04,6.32E-01,5.85E-04,6.01E-01,9.20E-04,9.40E-01,6.29E-04,5.85E-01
Q06179,---,---,---,---,1.29E-05,5.42E-01,---,---,---,---,---,---
P49723,1.93E-03,---,7.44E-05,---,8.96E-04,5.07E-01,1.93E-03,---,1.08E-03,3.36E+00,1.39E-03,5.21E+01
P36105,---,---,4.61E-03,1.91E+00,4.77E-03,3.24E+00,---,---,---,---,---,---
P38061,8.92E-04,---,2.74E-03,1.87E+00,4.01E-03,2.80E+00,4.93E-04,---,0.00E+00,---,6.58E-04,---
P0CX39,4.53E-04,---,2.42E-03,9.98E-01,3.32E-03,2.08E+00,2.06E-04,2.20E+00,4.80E-04,---,1.24E-04,---
P10963,---,---,8.34E-04,1.34E+00,6.45E-04,8.97E-01,2.23E-03,3.23E+00,1.20E-03,1.44E+00,1.49E-03,2.18E+00
P15992,1.86E-03,2.39E-01,2.79E-03,1.43E+00,2.27E-03,8.82E-01,3.89E-03,4.33E-01,5.99E-03,6.93E-01,5.25E-03,5.93E-01
P34216,9.36E-06,1.96E-02,9.29E-06,8.44E-02,3.85E-05,1.50E-01,9.28E-06,2.14E-02,6.90E-05,1.12E-01,6.95E-05,1.26E-01
P00360,3.40E-02,1.15E+01,1.03E-02,1.08E+00,1.17E-02,1.64E+00,1.15E-02,6.35E+00,6.84E-03,3.89E+00,9.24E-03,6.54E+00
P32614,7.90E-04,---,1.16E-03,2.20E+00,4.78E-04,8.36E-01,2.29E-04,5.93E+00,3.07E-04,---,2.95E-04,---
P17505,6.67E-04,2.06E+00,2.59E-03,4.58E+00,1.86E-03,2.07E+00,1.62E-03,1.89E+00,1.26E-03,2.19E+00,1.29E-03,1.64E+00
P0CX43,6.67E-04,1.69E+01,2.58E-03,1.51E+00,2.75E-03,1.99E+00,3.73E-04,---,5.34E-05,---,1.73E-04,---
P34760,3.48E-03,2.95E+00,1.30E-03,3.46E-01,1.10E-03,3.41E-01,2.91E-03,8.74E-01,2.50E-03,9.40E-01,2.76E-03,9.44E-01
P32582,1.22E-03,7.23E+01,1.00E-03,3.16E+00,6.87E-04,3.11E+00,8.76E-04,2.32E+01,3.81E-04,2.01E+01,7.34E-04,3.97E+01
P0CX49,---,---,1.50E-03,9.45E-01,2.98E-03,1.74E+00,1.38E-04,---,0.00E+00,---,0.00E+00,---
P0CX47,2.45E-04,---,3.18E-03,1.27E+00,4.08E-03,1.93E+00,---,---,---,---,---,---
P19882,6.71E-05,8.85E-01,8.89E-04,1.19E+00,4.41E-04,6.10E-01,9.58E-04,1.70E+00,1.26E-03,1.87E+00,1.02E-03,2.41E+00
P53278,6.70E-04,3.98E-01,4.66E-05,5.73E-01,0.00E+00,0.00E+00,1.27E-04,1.43E-01,7.92E-04,9.97E-01,6.72E-04,9.12E-01
P41277,1.69E-03,5.97E+00,2.39E-03,1.11E+00,2.75E-03,8.44E-01,1.21E-03,3.33E+01,1.01E-03,1.31E+01,1.48E-03,2.00E+01
P47068,0.00E+00,0.00E+00,1.54E-04,8.16E-01,1.15E-05,4.16E-02,0.00E+00,0.00E+00,1.13E-04,4.79E-01,1.57E-04,6.04E-01
Q06706,---,---,9.38E-06,2.26E-01,5.90E-05,1.28E+00,---,---,---,---,---,---
P16474,4.63E-04,2.12E+00,8.39E-04,1.28E+00,4.76E-04,5.48E-01,4.89E-04,1.20E+00,2.99E-04,7.63E-01,2.16E-04,6.03E-01
P17967,4.02E-04,1.89E-01,2.43E-04,1.49E-01,2.30E-04,1.43E-01,9.01E-04,3.38E-01,1.90E-03,7.72E-01,1.95E-03,7.28E-01
P41338,1.57E-03,---,1.05E-03,1.00E+00,9.61E-04,1.14E+00,1.64E-03,2.38E+01,1.05E-03,1.15E+01,1.19E-03,2.53E+01
P22515,6.70E-05,---,7.42E-05,2.05E-01,1.01E-04,5.20E-01,0.00E+00,---,1.13E-05,---,2.51E-05,2.79E+00
P07251,1.46E-04,4.45E+00,3.27E-04,9.39E-01,6.71E-04,3.24E+00,7.04E-05,7.03E-01,2.41E-04,1.48E+01,1.33E-04,2.54E+00
P0C2H6,7.75E-04,---,3.83E-03,1.61E+00,6.11E-03,2.69E+00,6.78E-04,---,4.38E-04,---,1.01E-03,3.60E+00
P32861,---,---,6.37E-04,5.98E-01,3.76E-04,4.15E-01,---,---,---,---,---,---
Q05775,2.88E-03,1.90E+00,2.25E-03,7.00E+00,1.53E-03,1.86E+00,1.11E-03,8.19E-01,1.66E-03,2.40E+00,1.62E-03,3.27E+00
P19524,---,---,---,---,7.25E-06,2.74E-01,---,---,---,---,---,---
Q12363,1.37E-03,3.51E+01,1.19E-03,2.12E+00,1.15E-03,9.20E-01,9.16E-04,8.69E+00,4.66E-04,3.14E+00,5.99E-04,1.41E+01
P22203,4.48E-04,3.54E-01,1.31E-03,1.61E+00,7.88E-04,4.53E-01,6.70E-04,3.68E-01,2.20E-03,1.82E+00,2.19E-03,1.71E+00
P49090,4.21E-04,---,9.78E-04,7.44E-01,7.53E-04,7.41E-01,1.21E-04,---,6.30E-05,---,1.73E-04,---
