,,,,,,,,,,"(+) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 100 nm AgNP, 10 mM NaPi, pH 7.4",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.1 mM cys",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 0.8 mM NaCl",,,,,"(-) 10 nm AgNP, 10 mM NaPi, pH 7.4 + 3.0 mM NaCl",,,,,
Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEF3 PE=1 SV=4,YEF3 EFC1 TEF3 YEF3A YLR249W L9672.5,P16521,5.73,1044,115813.52,0,Protein biosynthesis; polypeptide chain elongation. ,Cytoplasm. ,ATP binding; ATPase activity; cytosolic ribosome; rRNA binding; translation elongation factor activity; translational termination,1.79E-03,2.04E-04,1.44E-04,8.92E-05,1.24E+01,2.51E-03,1.83E-06,1.74E-03,5.56E-05,1.44E+00,2.67E-03,4.98E-04,2.08E-03,9.58E-05,1.28E+00,5.78E-04,2.25E-04,3.53E-05,3.98E-05,1.64E+01,4.94E-04,1.17E-04,0.00E+00,0.00E+00,---,3.68E-04,1.90E-04,8.98E-06,1.56E-05,4.10E+01,
Suppressor protein STM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STM1 PE=1 SV=3,STM1 MPT4 STO1 YLR150W L9634.1,P39015,9.66,273,29863.76,0,0,Cytoplasm. Nucleus. Cytoplasm â€º perinuclear region. ,TOR signaling cascade; cytosolic ribosome; negative regulation of apoptotic process; nucleus; perinuclear region of cytoplasm; polysome; regulation of translational initiation in response to stress; telomere maintenance; telomeric DNA binding; translational elongation; triplex DNA binding,2.74E-02,3.65E-03,1.77E-02,8.60E-03,1.54E+00,7.68E-03,9.68E-04,7.54E-03,3.65E-04,1.02E+00,3.65E-03,6.71E-04,1.04E-02,4.66E-04,3.51E-01,1.19E-02,2.04E-03,4.55E-03,6.68E-05,2.60E+00,4.16E-03,4.55E-05,9.59E-03,4.32E-04,4.34E-01,4.77E-03,1.22E-03,8.80E-03,7.32E-04,5.43E-01,
Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS2 PE=1 SV=2,FAS2 YPL231W P1409,P19097,5.32,1887,206946.94,2,0,0,3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity; 3-oxoacyl-[acyl-carrier-protein] synthase activity; fatty acid biosynthetic process; fatty acid synthase complex; fatty-acyl-CoA synthase activity; holo-[acyl-carrier-protein] synthase activity; macromolecule biosynthetic process; magnesium ion binding; mitochondrion,---,---,---,---,---,6.47E-04,1.62E-05,5.14E-04,2.72E-05,1.26E+00,8.84E-04,4.13E-04,4.15E-04,3.21E-05,2.13E+00,2.25E-05,3.90E-05,4.76E-06,8.24E-06,4.73E+00,3.74E-05,3.69E-05,5.08E-06,8.80E-06,7.36E+00,3.80E-05,5.02E-05,0.00E+00,0.00E+00,---,
sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain...,ADH1 ADC1 YOL086C O0947,P00330,6.21,348,36717.98,1,0,Cytoplasm. ,NADH oxidation; alcohol dehydrogenase (NAD) activity; amino acid catabolic process to alcohol via Ehrlich pathway; cytoplasm; ethanol biosynthetic process involved in glucose fermentation to ethanol; methylglyoxal reductase (NADH-dependent) activity; plasma membrane; zinc ion binding,2.52E-02,2.56E-03,1.66E-03,3.25E-04,1.52E+01,7.09E-03,8.52E-04,9.47E-03,1.91E-04,7.49E-01,6.80E-03,6.99E-04,1.22E-02,6.53E-04,5.57E-01,7.64E-03,1.19E-03,2.38E-03,3.84E-04,3.21E+00,5.57E-03,2.36E-04,1.86E-03,3.27E-04,2.99E+00,7.58E-03,1.57E-03,2.04E-03,3.07E-04,3.70E+00,
60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL3 PE=1 SV=4,RPL3 MAK8 TCM1 YOR063W YOR29-14,P14126,10.29,387,43626.43,0,0,Cytoplasm. ,cytoplasmic translation; cytosolic large ribosomal subunit; ribosomal large subunit assembly; structural constituent of ribosome,2.37E-04,5.56E-05,0.00E+00,0.00E+00,---,3.45E-03,1.08E-03,3.29E-03,2.56E-04,1.05E+00,6.60E-03,2.68E-03,2.95E-03,4.95E-04,2.24E+00,2.64E-04,2.29E-04,0.00E+00,0.00E+00,---,6.24E-05,1.08E-04,0.00E+00,0.00E+00,---,3.32E-05,5.74E-05,0.00E+00,0.00E+00,---,
Elongation factor 1-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFB1 PE=1 SV=4,EFB1 TEF5 YAL003W,P32471,4.3,206,22495.85,0,Protein biosynthesis; polypeptide chain elongation. ,0,eukaryotic translation elongation factor 1 complex; guanyl-nucleotide exchange factor activity; translation elongation factor activity; translational elongation,1.59E-03,4.04E-04,5.94E-03,4.12E-03,2.68E-01,4.87E-03,8.94E-04,1.79E-02,3.00E-03,2.72E-01,2.28E-03,1.41E-04,1.83E-02,2.12E-03,1.25E-01,1.81E-03,2.89E-04,4.30E-03,4.02E-04,4.20E-01,1.74E-03,1.41E-04,5.22E-03,5.80E-04,3.33E-01,1.68E-03,5.20E-04,4.86E-03,8.74E-04,3.45E-01,
Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS1 PE=1 SV=2,FAS1 YKL182W,P07149,5.64,2051,228691.28,2,0,0,"3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity; 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity; [acyl-carrier-protein] S-acetyltransferase activity; [acyl-carrier-protein] S-malonyltransferase activity; enoyl-[acyl-carrier-protein] reductase (NADH) activity; enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity; fatty acid biosynthetic process; fatty acid synthase complex; fatty-acyl-CoA synthase activity; lipid particle; mitochondrion; myristoyl-[acyl-carrier-protein] hydrolase activity; oleoyl-[acyl-carrier-protein] hydrolase activity; palmitoyl-[acyl-carrier-protein] hydrolase activity; palmitoyltransferase activity",2.63E-05,3.08E-05,0.00E+00,0.00E+00,---,1.23E-05,2.14E-05,4.77E-06,8.27E-06,2.58E+00,8.58E-04,3.22E-04,4.35E-04,1.09E-04,1.97E+00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TEF1 PE=1 SV=1,TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913,P02994,9.14,458,50032.68,0,Protein biosynthesis; polypeptide chain elongation. ,Cytoplasm. Cytoplasm â€º cytoskeleton. ,GDP binding; GTP binding; GTP catabolic process; GTPase activity; cytoskeleton; eukaryotic translation elongation factor 1 complex; mitochondrion; ribosome; tRNA export from nucleus; translation elongation factor activity,1.82E-03,9.04E-04,6.65E-04,2.12E-04,2.74E+00,2.86E-03,1.26E-04,2.36E-03,3.34E-04,1.21E+00,4.64E-03,1.04E-03,2.62E-03,5.56E-05,1.78E+00,2.10E-03,1.54E-04,1.45E-03,1.30E-04,1.45E+00,2.16E-03,1.66E-04,1.14E-03,6.50E-05,1.90E+00,2.57E-03,1.97E-04,1.00E-03,2.22E-04,2.56E+00,
Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPI1 PE=1 SV=2,TPI1 YDR050C YD9609.05C,P00942,5.75,248,26664.27,5,Carbohydrate biosynthesis; gluconeogenesis. Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate from glycerone phosphate: step 1/1. ,0,gluconeogenesis; glycolysis; mitochondrion; pentose-phosphate shunt; plasma membrane; triose-phosphate isomerase activity,1.40E-02,2.00E-03,2.11E-03,9.54E-04,6.63E+00,9.90E-03,3.76E-04,5.47E-03,5.01E-04,1.81E+00,6.13E-03,1.16E-03,7.17E-03,5.69E-04,8.55E-01,9.09E-03,2.07E-03,2.34E-03,7.20E-05,3.89E+00,6.89E-03,3.32E-04,2.36E-03,3.01E-04,2.92E+00,7.89E-03,1.45E-03,1.66E-03,9.29E-05,4.74E+00,
Protein ZEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZEO1 PE=1 SV=3,ZEO1 YOL109W O0738,Q08245,5.43,113,12457.8,0,0,Cell membrane; Peripheral membrane protein. ,extrinsic to plasma membrane; fungal-type cell wall organization; mitochondrial outer membrane,3.79E-03,1.41E-03,2.62E-02,5.98E-03,1.45E-01,6.19E-03,1.04E-03,1.27E-02,1.66E-03,4.87E-01,6.54E-03,6.52E-04,1.87E-02,5.54E-04,3.49E-01,9.77E-03,1.62E-03,3.19E-02,3.15E-03,3.06E-01,7.94E-03,3.48E-04,3.02E-02,4.39E-03,2.62E-01,6.81E-03,9.51E-04,3.19E-02,1.16E-03,2.14E-01,
"Isoleucine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILS1 PE=1 SV=1",ILS1 YBL076C YBL0734,P09436,5.74,1072,122983.51,6,0,Cytoplasm. ,ATP binding; aminoacyl-tRNA editing activity; cytosol; isoleucine-tRNA ligase activity; isoleucyl-tRNA aminoacylation; regulation of translational fidelity,6.13E-04,1.00E-04,0.00E+00,0.00E+00,---,7.58E-04,1.91E-04,7.52E-04,1.08E-04,1.01E+00,1.09E-03,1.96E-04,6.92E-04,9.16E-05,1.58E+00,1.71E-04,6.97E-05,3.36E-05,3.84E-05,5.08E+00,1.13E-05,1.95E-05,2.57E-05,1.05E-06,4.39E-01,5.82E-05,5.44E-05,1.75E-05,1.52E-05,3.33E+00,
"Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAB1 PE=1 SV=4",PAB1 YER165W,P04147,5.71,577,64213.01,0,0,Cytoplasm. Nucleus. ,cytoplasmic stress granule; mRNA processing; mRNA transport; nucleotide binding; nucleus; poly(A) RNA binding; regulation of nuclear-transcribed mRNA poly(A) tail shortening; regulation of translational initiation; ribosome,1.14E-04,4.10E-05,5.10E-04,1.36E-04,2.24E-01,1.04E-03,3.85E-04,1.35E-03,1.38E-04,7.69E-01,2.39E-03,1.22E-03,1.71E-03,1.82E-04,1.40E+00,9.75E-04,3.81E-04,1.72E-03,2.09E-04,5.67E-01,2.92E-03,2.38E-04,1.04E-03,2.82E-04,2.81E+00,2.68E-03,5.07E-05,9.57E-04,9.85E-05,2.80E+00,
Heat shock protein STI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STI1 PE=1 SV=1,STI1 YOR027W OR26.17,P15705,5.45,589,66265.1,0,0,Cytoplasm. ,ATPase inhibitor activity; Hsp70 protein binding; Hsp90 protein binding; cytoplasm; mRNA binding; protein folding; response to stress,3.06E-04,2.97E-04,8.79E-04,2.23E-04,3.48E-01,1.84E-03,1.77E-04,1.45E-03,2.18E-04,1.27E+00,8.52E-04,2.53E-04,2.07E-03,1.13E-04,4.11E-01,1.31E-03,2.88E-04,1.64E-03,2.49E-04,8.00E-01,1.14E-03,8.74E-05,1.34E-03,2.46E-04,8.50E-01,1.19E-03,1.71E-04,1.45E-03,2.34E-04,8.21E-01,
12 kDa heat shock protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP12 PE=1 SV=1,HSP12 GLP1 HOR5 YFL014W,P22943,5.22,109,11692.71,0,0,0,cell adhesion; cellular response to heat; cellular response to osmotic stress; cellular response to oxidative stress; cytosol; endosome; lipid binding; nucleus; plasma membrane; plasma membrane organization,1.71E-03,1.48E-03,3.79E-02,1.41E-02,4.52E-02,9.33E-03,1.01E-03,1.45E-02,1.97E-03,6.41E-01,6.40E-03,2.05E-03,1.79E-02,1.81E-03,3.57E-01,5.25E-03,1.01E-03,1.73E-02,1.94E-03,3.04E-01,4.82E-03,4.76E-04,1.58E-02,5.98E-04,3.05E-01,3.70E-03,7.84E-04,1.70E-02,8.98E-04,2.17E-01,
Acetyl-CoA carboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACC1 PE=1 SV=2,ACC1 ABP2 FAS3 MTR7 YNR016C N3175,Q00955,5.89,2233,250222.21,6,Lipid metabolism; malonyl-CoA biosynthesis; malonyl-CoA from acetyl-CoA: step 1/1. ,Cytoplasm. Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side. ,ATP binding; acetyl-CoA carboxylase activity; biotin carboxylase activity; endoplasmic reticulum membrane; long-chain fatty acid biosynthetic process; malonyl-CoA biosynthetic process; metal ion binding; mitochondrion; nuclear envelope organization; protein import into nucleus,---,---,---,---,---,1.42E-04,1.87E-05,1.07E-04,1.68E-05,1.34E+00,1.76E-04,6.02E-05,5.96E-05,1.83E-05,2.96E+00,2.48E-05,2.93E-05,2.07E-05,7.38E-06,1.20E+00,5.19E-06,8.99E-06,3.97E-06,6.87E-06,1.31E+00,0.00E+00,0.00E+00,8.47E-06,7.34E-06,0.00E+00,
"Magnesium-activated aldehyde dehydrogenase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD6 PE=1 SV=4",ALD6 ALDH1 YPL061W LPE9,P54115,5.31,500,54282.97,1,Alcohol metabolism; ethanol degradation; acetate from ethanol: step 2/2. ,Cytoplasm. ,NADPH regeneration; acetate biosynthetic process; aldehyde dehydrogenase (NAD) activity; aldehyde dehydrogenase [NAD(P)+] activity; cytosol; ethanol catabolic process; mitochondrion; response to salt stress,4.27E-03,9.14E-04,1.39E-04,1.56E-04,3.06E+01,2.77E-03,3.84E-04,1.88E-03,1.23E-04,1.48E+00,3.00E-03,1.10E-04,2.25E-03,1.22E-04,1.33E+00,3.34E-03,8.64E-04,1.46E-04,1.57E-04,2.28E+01,2.20E-03,3.55E-04,7.21E-05,8.32E-05,3.06E+01,2.84E-03,8.55E-04,1.31E-04,2.27E-04,2.16E+01,
Guanine nucleotide-binding protein subunit beta-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASC1 PE=1 SV=4,ASC1 CPC2 YMR116C YM9718.15C,P38011,5.8,319,34674.14,0,0,Cytoplasm. ,G-protein coupled receptor signaling pathway; GDP-dissociation inhibitor activity; cytosolic small ribosomal subunit; glucose mediated signaling pathway; invasive growth in response to glucose limitation; negative regulation of translation; signal transducer activity,1.04E-02,4.76E-04,8.50E-05,8.75E-05,1.22E+02,5.50E-03,1.87E-04,5.58E-03,6.77E-04,9.86E-01,3.72E-03,9.57E-04,5.22E-03,8.90E-04,7.13E-01,3.43E-03,1.99E-03,0.00E+00,0.00E+00,---,1.76E-03,1.33E-04,2.84E-05,4.92E-05,6.19E+01,2.67E-03,2.31E-03,0.00E+00,0.00E+00,---,
