,Accession Number,Particle Size,Particle Charge,Solvent Conditions,Average Predicted Value,True Value,% Error Difference,Min,Max,Standard Deviation
13,P16521,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0017411116932271173,0.000368,3.731281775073688,0.0009609830972984073,0.0021545356558412697,0.00032053228119269467
14,P39015,10 nm,Negative,10 mM NaPi pH 7.4,0.007841044647746511,0.00768,0.02096935517532694,0.005801333555238135,0.012167797038095332,0.0015912058875868409
15,P19097,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.00041790067817152113,3.74e-05,10.173814924372223,0.00025339039511904657,0.0005733705682380948,9.37883051149596e-05
16,P32471,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0027113531733826,0.00174,0.5582489502198851,0.0016235938838095102,0.0032289704691428767,0.0004272701269355732
17,P00942,10 nm,Positive,10 mM NaPi pH 7.4,0.009811479658735404,0.014,0.2991800243760426,0.007540617857142854,0.011370389127809506,0.0011713013495354505
18,P00942,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.008495058639989403,0.00689,0.23295480986783787,0.0077434909259046815,0.00968526516999998,0.0005765366246612725
19,P09436,10 nm,Negative,10 mM NaPi pH 7.4,0.0003979018843914308,0.000758,0.4750634770561599,0.0001491434543428565,0.000616576106707943,0.00015013677257391103
20,P04147,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.001496171865235436,0.00292,0.4876123749193712,0.0014224679489523715,0.0016220703198095076,8.86937592110708e-05
21,P15705,10 nm,Negative,10 mM NaPi pH 7.4,0.00103412089160635,0.00184,0.43797777630089674,0.0009706391458412691,0.0011464313202857162,4.9914173388805263e-05
22,P22943,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0060992626447244356,0.00482,0.26540718770216515,0.004710064449523774,0.006995403752380992,0.0005397197981618749
23,Q00955,100 nm,Negative,10 mM NaPi pH 7.4,0.0002107405325841254,0.000176,0.19738938968253075,0.00016778127288888763,0.0002490363976349179,3.016344032942987e-05
24,P54115,10 nm,Positive,10 mM NaPi pH 7.4,0.002949098577538968,0.00427,0.30934459542412934,0.002861615377904775,0.003172044770952354,8.937185731191977e-05
25,P38011,100 nm,Negative,10 mM NaPi pH 7.4,0.00461456816379063,0.00372,0.24047531284694343,0.0034936441193332336,0.006263348450095186,0.000779408828318036
26,P0CS90,10 nm,Negative,10 mM NaPi pH 7.4,0.0010015139018730223,0.00193,0.4810808798585377,0.0008408618897142876,0.0011841154817777845,0.000118653613223675
27,P16861,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0006823216608350186,0.000165,3.1352827929395066,0.00045743882921904885,0.0008076015394444546,0.00012342471321700942
28,P00950,10 nm,Positive,10 mM NaPi pH 7.4,0.006364627639769886,0.00996,0.3609811606656741,0.0035058241773015864,0.009584932600476227,0.002125047509205262
29,P00950,100 nm,Negative,10 mM NaPi pH 7.4,0.004791699050115684,0.00529,0.09419677691574976,0.0033655287534920583,0.006510436039714304,0.0007754828528732479
30,P25443,10 nm,Negative,10 mM NaPi pH 7.4,0.0026721101864999853,0.00381,0.29865874370079126,0.0021433182506349112,0.0030134609548571173,0.0002650597730578055
31,P0CH08,10 nm,Positive,10 mM NaPi pH 7.4,0.0035398958081349287,0.00111,2.1890953226440795,0.0026862138100317585,0.004688055268888933,0.0005843113676766582
32,P00358,10 nm,Positive,10 mM NaPi pH 7.4,0.019008983149265253,0.0492,0.6136385538767225,0.01742525943876219,0.019795717570476077,0.000890450400182757
33,P17536,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.002211719809558731,0.00185,0.1955242213830977,0.001914005723809532,0.002331722735238097,0.00013674749580582757
34,P07806,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0004121425201155566,0.000131,2.14612610775234,0.0003907510148571443,0.00044121774050158793,2.0906713892174274e-05
35,P39935,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.00032152122137324337,0.000302,0.06463980587166672,0.00022274850140634834,0.0003876855646984142,6.414305647108055e-05
36,P39935,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0002990406367489198,0.000294,0.017145022955509542,0.00021952042026349096,0.0003504924600952381,4.4445112769969204e-05
37,P38934,10 nm,Negative,10 mM NaPi pH 7.4,0.0006002953050209194,0.00219,0.7258925547849684,0.0004265206175238093,0.0008612275999999936,0.00011574101742891453
38,P38934,100 nm,Negative,10 mM NaPi pH 7.4,0.0009225225617113102,0.00146,0.368135231704582,0.00045335549733333344,0.0014246670440952456,0.0003974578275889702
39,P38934,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0007829667294047601,0.00056,0.39815487393707166,0.0005140313471428567,0.0012222008500000032,0.00024738112074865464
40,Q12273,100 nm,Negative,10 mM NaPi pH 7.4,0.00012705331028027147,0.00034,0.6263137932933193,7.919072738095261e-05,0.00017759407999047523,3.361821951249538e-05
41,Q99337,100 nm,Negative,10 mM NaPi pH 7.4,0.00020074845203015956,0.000299,0.3286004948824095,0.00015970609260476312,0.0002229012026000007,2.0625370560437112e-05
42,P38879,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.005633231237536519,0.00548,0.02796190465994878,0.004917972527174657,0.006033162475873014,0.0004097217876911946
43,P0CX82,100 nm,Negative,10 mM NaPi pH 7.4,0.00375242758770475,0.00609,0.38383783453123976,0.0033794245476190454,0.0038932968752380583,0.00014955930398850785
44,P23254,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0013673083453928348,0.00223,0.3868572442184598,0.0010589119347142826,0.0018936732406190351,0.00022731504440741458
45,P32589,10 nm,Negative,10 mM NaPi pH 7.4,0.0005574879565634918,0.000973,0.42704218236023456,0.0004773437084761933,0.0006169230600634904,6.184088673446123e-05
46,P32589,100 nm,Negative,10 mM NaPi pH 7.4,0.0007141104549523776,0.000705,0.012922631138124308,0.0005199061779365084,0.0008509644492063451,0.0001205973296595676
47,P32589,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0005081202066361467,0.000654,0.22305778801812426,0.00035909336980952914,0.0006145321686666606,7.513387820044375e-05
48,P46655,10 nm,Negative,10 mM NaPi pH 7.4,0.0005197867132943759,0.000574,0.09444823467878762,0.000332900924158732,0.0006566807258412747,9.938732939054537e-05
49,P46655,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0005092387695606363,0.000245,1.0785255900434136,0.00044187827114285734,0.0005908570886666683,5.38147621024093e-05
50,P46655,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0004564136189880943,0.000104,3.388592490270138,0.0003404978280952369,0.0005719298306666678,5.182617529010116e-05
51,P14832,10 nm,Positive,10 mM NaPi pH 7.4,0.019250778092968233,0.00977,0.970396938891324,0.01418338689142864,0.028769931315714047,0.005406044035532624
52,P07280,10 nm,Negative,10 mM NaPi pH 7.4,0.007424800659746033,0.0104,0.2860768596398045,0.007048067791428575,0.00777086226571429,0.0002564981473880358
53,P07280,100 nm,Negative,10 mM NaPi pH 7.4,0.008054102780984188,0.008,0.00676284762302342,0.007395608036000016,0.008564345022222326,0.0005788972073006351
54,P06105,10 nm,Positive,10 mM NaPi pH 7.4,9.44988005372481e-05,3.16e-05,1.9904683714319016,8.053387556190394e-05,0.00012470697068253853,1.4807006062612168e-05
55,P16862,100 nm,Negative,10 mM NaPi pH 7.4,0.0005531680921142915,0.000924,0.4013332336425417,0.0003985049458285728,0.0006209918897619136,8.466577848441982e-05
56,P15891,10 nm,Negative,10 mM NaPi pH 7.4,0.00040613829632857264,0.000967,0.5800017618111968,0.0003064479302539698,0.0007145270772063465,0.00012102107425580724
57,P38088,10 nm,Negative,10 mM NaPi pH 7.4,0.0003888980689581515,0.000792,0.5089670846487986,0.00024923792133333273,0.00048631763307936736,7.466375930669235e-05
58,Q12159,10 nm,Positive,10 mM NaPi pH 7.4,0.0014793300996171468,0.000802,0.84455124640542,0.001026325809999999,0.0016882573519682552,0.0002416567998263542
59,Q12159,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0009469408880837001,0.000589,0.6077094874086588,0.0008306581978730158,0.001182747876666677,8.703533990389058e-05
60,P25694,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0004662395037425414,0.000187,1.4932593783023607,0.00036958778014285765,0.0007128156321904788,9.502235237003273e-05
61,P04801,100 nm,Negative,10 mM NaPi pH 7.4,0.0006893814427658678,0.000582,0.1845041971922126,0.0005655616366666642,0.0008899226136190409,0.000108168748393114
62,P26783,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0019327525281492013,0.000889,1.1740748348134997,0.00078164884739682,0.0026883327291745865,0.0007939806172614279
63,P10081,10 nm,Negative,10 mM NaPi pH 7.4,0.0014289323370788817,0.00177,0.19269359487068835,0.0011610271673766163,0.0016391777638730214,0.00020134148994174677
64,P10081,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.001525724715788439,0.000846,0.803457110861039,0.0012057682571428414,0.0017425941685714303,0.00014194898027384176
65,P34167,10 nm,Negative,10 mM NaPi pH 7.4,0.001535672293530873,0.00225,0.3174789806529452,0.0010085341755238094,0.0019067406060317563,0.0002845370002783898
66,P34167,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0016639158180820131,0.00247,0.32634987122185705,0.001034586325238095,0.0019321608784761929,0.0002858977444344998
67,P26321,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0020449087898906067,0.000717,1.8520345744638866,0.0018333452004761818,0.002212031783238082,0.00011918836490766436
68,P0CX37,10 nm,Negative,10 mM NaPi pH 7.4,0.0017530296936296376,0.00323,0.4572663487214744,0.0013526801020952556,0.0021477873241904834,0.0002750777073754171
69,P0CX37,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0012235902831481535,0.000925,0.32280030610611177,0.0008362051719047651,0.001585163473047629,0.00032133702043962573
70,P41805,10 nm,Negative,10 mM NaPi pH 7.4,0.0015134651969063483,0.00258,0.4133855825944386,0.001332781075142855,0.0016398700993015877,9.720752466819982e-05
71,P41805,100 nm,Negative,10 mM NaPi pH 7.4,0.0031272161841500723,0.00415,0.24645393153010306,0.002201988244126968,0.0037232879995238127,0.00045658336864619196
72,P0CX31,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0041734314327500225,0.000879,3.7479310952787515,0.002106587527269837,0.005739913563809563,0.0011024727809434015
73,Q99383,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0005107015506920625,0.000686,0.255537098116527,0.00044604451247618685,0.0005631786678730153,4.577446913585587e-05
74,Q12118,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0008948267165374154,0.00023,2.8905509414670236,0.0008037420347301632,0.0010411996342857134,7.577711366386208e-05
75,P12709,10 nm,Negative,10 mM NaPi pH 7.4,0.0034552607958508066,0.000873,2.9579161464499504,0.0028597583552381154,0.004218627436190468,0.00044551882220321854
76,P12709,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0025564414999809802,0.00319,0.19860768025674605,0.00216193098228573,0.003295624199047643,0.000368689242940066
77,P39954,100 nm,Negative,10 mM NaPi pH 7.4,0.00269753874353564,0.00151,0.7864494990302251,0.00228125852946032,0.0028746482969968508,0.0001553719236236572
78,P39954,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0022186426848743376,0.00293,0.24278406659578916,0.0016687464875238156,0.002677991753079362,0.00032943138856655
79,P38249,10 nm,Negative,10 mM NaPi pH 7.4,0.0004997400732592583,0.000356,0.4037642507282537,0.0004178730401587279,0.0008468740609841293,0.00013140313845888
80,Q12690,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0033259883490528172,0.00443,0.24921256229056044,0.002788168401746066,0.003822317404571411,0.0003134998221135605
81,P10080,10 nm,Positive,10 mM NaPi pH 7.4,0.0015476299207513187,0.00107,0.4463831035059054,0.0013513072225714252,0.001905464401777784,0.00020612638108994966
82,P10080,10 nm,Negative,10 mM NaPi pH 7.4,0.0015515180677655623,0.00108,0.4365908034866317,0.0013075412542857042,0.0019194285159682665,0.0001449905749862724
83,P00817,100 nm,Negative,10 mM NaPi pH 7.4,0.0025661176439864073,0.0026,0.013031675389843298,0.002143313264571448,0.0029474801948253995,0.00024345022296785258
84,P07284,10 nm,Negative,10 mM NaPi pH 7.4,0.0005027329821063484,0.000825,0.39062668835594133,0.0003314339619365092,0.0006744835581269849,0.0001226891217965058
85,P07284,100 nm,Negative,10 mM NaPi pH 7.4,0.0005023629251313136,0.00139,0.638587823646537,0.0003551800915555552,0.0006378795705714305,9.730814849021533e-05
86,P0CX51,10 nm,Negative,10 mM NaPi pH 7.4,0.0029094368680603134,0.00657,0.5571633381947773,0.0025903429280952355,0.003886046223333326,0.000371858620263231
87,P25294,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0017159781547985173,0.00128,0.3406079334363415,0.0014676031044444351,0.0018346862961904583,9.665410224844166e-05
88,P02407,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.00510851086264551,0.00479,0.06649496088632774,0.004676414052539682,0.005508188474285766,0.0002322336401173315
89,P02407,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.004868212014052927,0.00334,0.457548507201475,0.0041110113019047585,0.005572321502857148,0.00044757460000856313
90,P05317,10 nm,Positive,10 mM NaPi pH 7.4,0.0017863200544502114,0.00214,0.16527100259335917,0.001641311623492073,0.001884959765079358,8.254049271279169e-05
91,P05317,10 nm,Negative,10 mM NaPi pH 7.4,0.001885236713785716,0.00167,0.12888425975192577,0.0016495757337777878,0.0020407568098412634,0.00010629981310059821
92,P05317,100 nm,Negative,10 mM NaPi pH 7.4,0.0019044637897438971,0.00239,0.20315322604857866,0.0018053987847618902,0.0020150405676190326,7.456523875173042e-05
93,P04802,10 nm,Positive,10 mM NaPi pH 7.4,0.0009507633256904738,0.00153,0.37858606164021313,0.0005556995976190498,0.0010812643051428534,0.00013375508983894972
94,P04802,10 nm,Negative,10 mM NaPi pH 7.4,0.0009374283274074966,0.00151,0.3791865381407307,0.0006481405046984152,0.0010591564726666525,0.0001278425777145243
95,P04802,100 nm,Negative,10 mM NaPi pH 7.4,0.001125871203030309,0.00115,0.02098156258233998,0.0007169319170793683,0.0014329131382857267,0.00017862616360380342
96,P38707,10 nm,Positive,10 mM NaPi pH 7.4,0.0005125739631341965,0.000384,0.33482802899530345,0.0004287271283809512,0.0006318591787619006,7.658272875147943e-05
97,P0CX53,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.006129502493219081,0.00422,0.4524887424689767,0.005551877344444466,0.006747776190000039,0.00043615103253536873
98,P16140,10 nm,Positive,10 mM NaPi pH 7.4,0.0014920181264869482,0.00121,0.2330728318073953,0.0013286190591111136,0.0016282133312380956,7.692495527055206e-05
99,P16140,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0015493830270435398,0.00162,0.0435907240471976,0.0014453738205714272,0.0016826081933333367,6.824688302960579e-05
100,Q05506,100 nm,Negative,10 mM NaPi pH 7.4,0.0006762130319095697,0.000726,0.06857709103365058,0.0006286774654920623,0.0008129491326984139,4.929259466679275e-05
101,P36421,100 nm,Negative,10 mM NaPi pH 7.4,0.0008942354201263565,0.00104,0.14015824987850328,0.0005755444665396825,0.0010386143386666667,0.0001270263997375972
102,P35691,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.003040505485148146,0.00184,0.6524486332326879,0.0028762207357142804,0.0033629620231111295,0.00017025677923913763
103,Q01855,10 nm,Negative,10 mM NaPi pH 7.4,0.003487092063782311,0.00447,0.21988991861693272,0.0021011266772380777,0.005174935458095262,0.0009961715583594276
104,Q01855,100 nm,Negative,10 mM NaPi pH 7.4,0.004856124452865774,0.00572,0.1510271935549346,0.0043726473775237695,0.005702595781142825,0.00040097067923659514
105,P38013,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.003297283079877557,0.00155,1.1272794063726175,0.0025581987180952393,0.0042485254895237926,0.0005821092674550692
106,P38013,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.003616976731704291,0.00192,0.8838420477626515,0.002916506351999974,0.004352508428571421,0.0005468554877026151
107,P0C0W9,100 nm,Negative,10 mM NaPi pH 7.4,0.00315802442231603,0.00274,0.15256365777957306,0.002763876839333343,0.003516543860476198,0.00029103891279405174
108,P29952,100 nm,Negative,10 mM NaPi pH 7.4,0.0006936753849496226,0.000477,0.4542460900411375,0.00043851851238095287,0.00085016206469841,0.00016992152057798934
109,P48589,10 nm,Positive,10 mM NaPi pH 7.4,0.0029615653076648938,0.00184,0.6095463628613552,0.002447133796190482,0.0031680567326984018,0.0002196717689160628
110,P48589,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.003185411802084635,0.00222,0.4348701811192047,0.0024723479830158755,0.003491969001809482,0.0003009145945615153
111,P31373,10 nm,Negative,10 mM NaPi pH 7.4,0.0018324367933841112,0.00177,0.035275024510797254,0.0016490881642856959,0.00206148451238095,0.00011855687208442375
112,P05319,10 nm,Negative,10 mM NaPi pH 7.4,0.003934278316441813,0.0012,2.2785652637015112,0.003466470553333371,0.004452017593333351,0.00029826144776246965
113,P41940,10 nm,Negative,10 mM NaPi pH 7.4,0.0007471641178412721,0.00155,0.5179586336507922,0.00043886455571428467,0.0011085237991428605,0.00022683428794382292
114,P53852,100 nm,Negative,10 mM NaPi pH 7.4,0.00010465107649954528,0.000149,0.29764378188224644,8.803657624761944e-05,0.00012103048464646453,1.1740374874371487e-05
115,P15625,10 nm,Positive,10 mM NaPi pH 7.4,0.0005493529484682502,0.00034,0.6157439660830889,0.00025855176019047463,0.000649694284999995,0.0001348222134104175
116,P15625,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.000494817708347882,8.17e-05,5.056520298015692,0.0003022535541428581,0.0006231386674761845,0.00013858556870798252
117,P47143,10 nm,Positive,10 mM NaPi pH 7.4,0.0011974666521805538,0.00117,0.02347577109449041,0.0009496572215238124,0.00168725990530158,0.0002599796288277803
118,P00890,10 nm,Negative,10 mM NaPi pH 7.4,0.000738166286834469,0.000584,0.26398336786724147,0.0006345541814920612,0.0008798160951428663,0.00010817308006964491
119,P00890,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0007734867370317165,0.000624,0.23956207857646872,0.0006983903202857155,0.0008584255431619141,5.5324079486219555e-05
120,P22146,10 nm,Positive,10 mM NaPi pH 7.4,0.0006391992179523861,0.000348,0.8367793619321439,0.0005779868434603218,0.0006857532578095363,3.850343467637997e-05
121,P49723,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.001021125398120624,0.00108,0.05451352025868146,0.0008031985792380919,0.0010942694397142723,0.00011123241002293999
122,P49723,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0009155775072694258,0.00139,0.341311145849334,0.0007977165519999978,0.0009867774495526656,7.668692723164158e-05
123,P36105,10 nm,Negative,10 mM NaPi pH 7.4,0.00293710321970158,0.00461,0.3628843341211323,0.002412955477777778,0.003371502475714285,0.00036130209861017697
124,P0CX39,10 nm,Negative,10 mM NaPi pH 7.4,0.0021056118531997446,0.00242,0.12991245735547735,0.0015836658743809502,0.003040969033333351,0.0005353316452210824
125,P0CX39,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0021766849005619105,0.000206,9.56643155612578,0.0019586286510476264,0.0025231875892381024,0.00015921587450695113
126,P15992,10 nm,Positive,10 mM NaPi pH 7.4,0.0038548926612751206,0.00186,1.0725229361694195,0.0028287820138095227,0.004323818463333306,0.00039860980880332793
127,P15992,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.003314865790317482,0.00599,0.44660003500542866,0.0028573851662222352,0.00400402271320637,0.0003232024728229565
128,P15992,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0033787167388624395,0.00525,0.3564349068833449,0.0027058144660317696,0.003831845207619053,0.0005122122797518876
129,P34216,100 nm,Negative,10 mM NaPi pH 7.4,2.6498813296983815e-05,3.85e-05,0.31171913514327754,2.189861629999969e-05,3.919735240476126e-05,4.879898185926318e-06
130,P00360,10 nm,Negative,10 mM NaPi pH 7.4,0.013084540200415256,0.0103,0.2703437087781802,0.011697508740635028,0.01521894718634916,0.0010567548539915379
131,P17505,100 nm,Negative,10 mM NaPi pH 7.4,0.0022636696505396723,0.00186,0.21702669383853343,0.0019676428319047585,0.0024011354406666494,0.00012876076259901723
132,P17505,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0018080617968427154,0.00126,0.4349696800339011,0.0015338892520000004,0.002260308601015873,0.00022879664997605393
133,P0CX43,10 nm,Positive,10 mM NaPi pH 7.4,0.0017870618827767338,0.000667,1.6792531975663179,0.0009350411844444418,0.0020101277185714346,0.00027191962086641245
134,P34760,100 nm,Negative,10 mM NaPi pH 7.4,0.002244857315665334,0.0011,1.0407793778775762,0.0019945568185714218,0.0027035147199682454,0.0002408366228289802
135,P32582,10 nm,Positive,10 mM NaPi pH 7.4,0.0021616690091214286,0.00122,0.7718598435421546,0.001046821773047621,0.004687903516552376,0.0012273402731624906
136,P0CX47,100 nm,Negative,10 mM NaPi pH 7.4,0.003357036927674445,0.00408,0.177196831452342,0.0030872801203174803,0.004057153782857165,0.00022943281486757238
137,P19882,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0007994501651697177,0.000958,0.1655008714303573,0.0006146721317301589,0.0009957220360634882,0.00010803785007836859
138,P53278,10 nm,Negative,10 mM NaPi pH 7.4,0.0004151983261869385,4.66e-05,7.909835325899968,0.00023751614932380867,0.0005097110719047594,0.00011357056862348873
139,P53278,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0004584699111999965,0.000672,0.3177531083333385,0.00013446090685714237,0.0005978837719999955,0.00018563932268680656
140,P41277,10 nm,Negative,10 mM NaPi pH 7.4 + 0.1 mM cys,0.0022561680171816678,0.00121,0.8646016670922876,0.0021277524726031837,0.002393178929142874,9.50223899009581e-05
141,P47068,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.0006830795636251525,0.000113,5.044951890488075,0.0004120846964652225,0.0014997544890190347,0.0004101134990959176
142,P16474,100 nm,Negative,10 mM NaPi pH 7.4,0.0006597760540461777,0.000476,0.3860841471558355,0.0006118689779999995,0.0007073048818412756,2.964731432997873e-05
143,P16474,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.0004960535063463241,0.000216,1.2965440108626118,0.00041116011536508233,0.0005791886986204895,6.134772358664128e-05
144,P17967,100 nm,Negative,10 mM NaPi pH 7.4,0.0007492852834946027,0.00023,2.257762102150447,0.0004292603472063497,0.001108560493999994,0.0001619959515655447
145,P41338,10 nm,Negative,10 mM NaPi pH 7.4,0.00116125356651487,0.00105,0.10595577763320965,0.0011125283089523958,0.001262449663142859,4.728354416186255e-05
146,P07251,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.00032353851023544846,0.000133,1.4326203777101387,0.0002885343302539674,0.0003616803114285702,2.4584547564986832e-05
147,P0C2H6,10 nm,Negative,10 mM NaPi pH 7.4 + 3.0 mM NaCl,0.003208842350571103,0.00101,2.1770716342288146,0.002485517341809526,0.0037303357600288562,0.0003411549130396073
148,Q12363,100 nm,Negative,10 mM NaPi pH 7.4,0.0008878110345326269,0.00115,0.22799040475423743,0.0007263537958095374,0.0009955379519047559,8.473934345376908e-05
149,P22203,10 nm,Negative,10 mM NaPi pH 7.4,0.0009833000601055198,0.00131,0.24938926709502302,0.0004939021398412712,0.0012252842558095319,0.00019706572489274697
150,P35732,10 nm,Negative,10 mM NaPi pH 7.4,0.0005758885413439173,0.000155,2.715409944154305,0.0004695815588571476,0.0007552114863809559,0.00011393082040562979
151,P00958,10 nm,Negative,10 mM NaPi pH 7.4,0.0001094871963305112,0.000203,0.4606542052684177,5.749227319047579e-05,0.0001535933257047617,3.220369543432804e-05
152,P00958,10 nm,Negative,10 mM NaPi pH 7.4 + 0.8 mM NaCl,0.00014906389840581993,3.22e-05,3.629313615087576,0.00011850056255238028,0.0001676860950000004,1.7778127949503177e-05
153,P0CX84,10 nm,Positive,10 mM NaPi pH 7.4,0.002220937177910044,0.00107,1.0756422223458355,0.0015666602060317456,0.002789714383174595,0.0002878355570834828
154,P38205,100 nm,Negative,10 mM NaPi pH 7.4,0.00021983173313322576,9.36e-05,1.3486296274917282,0.00019486111113506621,0.0002843596850095242,2.7851734549627177e-05
155,P07244,10 nm,Negative,10 mM NaPi pH 7.4,0.0002630629318231276,0.000396,0.33569966711331406,0.00022601441849841062,0.00034396570634920694,3.760667189894567e-05
156,P17709,10 nm,Positive,10 mM NaPi pH 7.4,0.0005549092795872996,0.00169,0.6716513138536688,0.0003217283268571461,0.0006330583814285693,0.00010576178666554704
